ID;Code;Digit;Special;Animal;Color;Serie;Used_Upgrade;Deliverable;Shop;Extra
118448;6RKkYX;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119850;49Nrt1;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119714;7VbEkq;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117742;2S3gNZ;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
117811;2tjTTx;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118598;6Lsnk5;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119924;2Ffn3m;6;common;llama;green;CS2;False;True;Presale Redemption;[];
117987;LJDKx;5;only_alpha_mixed;llama;green;CS2;False;True;Presale Redemption;[];
118729;4MEkoS;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118851;3WKAYA;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
118533;5ok3oi;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118692;5SzDud;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118953;5AgMtL;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119546;4dYd9K;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119928;4TAiHV;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118682;PGC6d;5;common;llama;black;CS2;False;True;Presale Redemption;[];
118468;4RgiZy;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119587;25HryY;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118924;5nG4e7;6;common;llama;red;CS2;False;True;Presale Redemption;[];
119967;5dN9G2;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119993;6t1Y5N;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117684;2zfQZ9;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118568;2gsZSF;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118214;CtGz9;5;common;llama;green;CS2;False;True;Presale Redemption;[];
119413;357Nuz;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118638;74PSeR;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118402;7HjL7T;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117777;44vtRE;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117523;4rtW5Y;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119797;5nG4uA;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118545;3jf3yz;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118363;4c4dWa;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119421;h43hW;5;common;llama;blue;CS2;False;True;Presale Redemption;[];
118170;6xTVNy;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118376;25Hrcf;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119161;3E1JXi;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118252;3ZH8vX;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119795;4urVKQ;6;common;llama;green;CS2;False;True;Presale Redemption;[];
117828;5GcJgK;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119765;4Z6fN4;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119638;3GyHEd;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118848;QkBRq;5;only_alpha_mixed;llama;green;CS2;False;True;Presale Redemption;[];
117868;29jpJw;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118377;3JTG9E;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119658;7AKQ5P;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118172;12Nif;5;common;llama;black;CS2;False;True;Presale Redemption;[];
118282;7LhJe5;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119999;12PGA;5;common;llama;green;CS2;False;True;Presale Redemption;[];
118641;6oZZq2;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118564;2TXfu5;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
117559;6uVWdk;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119895;3gh5pa;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119196;5gL7bR;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118356;4Gnnqy;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118752;663uyH;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119098;4KkmdT;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119840;7AKQ8X;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117630;4dYcaH;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118138;3E1JE5;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119560;3zUw6w;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118643;6rXYPk;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118287;6kbbAE;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118850;3m93Mb;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117733;5YvAkU;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118918;3TMBzd;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
119520;SEAum;5;only_alpha_mixed;llama;yellow;CS2;False;True;Presale Redemption;[];
119782;5UM3T;5;common;llama;blue;CS2;False;True;Presale Redemption;[];
118796;7X5DmM;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118175;h43L2;5;common;llama;blue;CS2;False;True;Presale Redemption;[];
118895;12Nw8;5;common;llama;green;CS2;False;True;Presale Redemption;[];
119934;6dBfEu;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118836;CtHAs;5;only_alpha_mixed;llama;yellow;CS2;False;True;Presale Redemption;[];
118135;7X5DZx;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118217;VC95z;5;common;llama;blue;CS2;False;True;Presale Redemption;[];
118969;5kn5NY;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119851;3B3LAv;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119823;3QPDhY;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118768;5AgMq9;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119744;3E1Jhm;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119972;6BysTh;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119961;357P5S;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119563;57iPWA;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
117829;5er7uW;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119726;75sSFX;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
119149;4W8gck;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
118357;3ZH8xL;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119935;4tNW5U;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119565;2WVem2;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118671;6VmiTQ;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117879;635w9Y;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117799;2awc5c;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118499;4dYcqG;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119345;4nSYmv;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117599;2noWGv;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119473;QkBcc;5;only_alpha_mixed;llama;black;CS2;False;True;Presale Redemption;[];
117650;7HjKtV;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118535;yMuY2;5;common;llama;black;CS2;False;True;Presale Redemption;[];
119753;6GRqEx;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117627;2qmUr6;6;common;llama;green;CS2;False;True;Presale Redemption;[];
117655;59CNDc;6;common;llama;green;CS2;False;True;Presale Redemption;[];
117864;3E1J9M;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118985;6EwqjN;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119916;2gsZqV;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118431;e64qk;5;common;llama;black;CS2;False;True;Presale Redemption;[];
119847;3s4znA;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118442;72uTJh;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119664;61bxPy;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117598;6dBeYd;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117872;357NTR;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117543;5tC1Mg;6;common;llama;black;CS2;False;True;Presale Redemption;[];
